State,Measures,Year,Number of Records,Values
Alabama,Licensed drivers,2020,1,4042900
Alaska,Licensed drivers,2020,1,518872
Arizona,Licensed drivers,2020,1,5681495
Arkansas,Licensed drivers,2020,1,2153929
California,Licensed drivers,2020,1,27005302
Colorado,Licensed drivers,2020,1,4299447
Connecticut,Licensed drivers,2020,1,2508670
Delaware,Licensed drivers,2020,1,829226
District of Columbia,Licensed drivers,2020,1,520865
Florida,Licensed drivers,2020,1,15715373
Georgia,Licensed drivers,2020,1,7521750
Hawaii,Licensed drivers,2020,1,921547
Idaho,Licensed drivers,2020,1,1285331
Illinois,Licensed drivers,2020,1,8225298
Indiana,Licensed drivers,2020,1,4532708
Iowa,Licensed drivers,2020,1,2268916
Kansas,Licensed drivers,2020,1,2004302
Kentucky,Licensed drivers,2020,1,2905632
Louisiana,Licensed drivers,2020,1,3416648
Maine,Licensed drivers,2020,1,1047893
Maryland,Licensed drivers,2020,1,4454266
Massachusetts,Licensed drivers,2020,1,4940373
Michigan,Licensed drivers,2020,1,7026650
Minnesota,Licensed drivers,2020,1,4090264
Mississippi,Licensed drivers,2020,1,2017111
Missouri,Licensed drivers,2020,1,4259672
Montana,Licensed drivers,2020,1,826754
Nebraska,Licensed drivers,2020,1,1438821
Nevada,Licensed drivers,2020,1,2056394
New Hampshire,Licensed drivers,2020,1,1060381
New Jersey,Licensed drivers,2020,1,6230912
New Mexico,Licensed drivers,2020,1,1473219
New York,Licensed drivers,2020,1,12194360
North Carolina,Licensed drivers,2020,1,7637400
North Dakota,Licensed drivers,2020,1,539006
Ohio,Licensed drivers,2020,1,8100273
Oklahoma,Licensed drivers,2020,1,2550560
Oregon,Licensed drivers,2020,1,2944828
Pennsylvania,Licensed drivers,2020,1,8930677
Rhode Island,Licensed drivers,2020,1,731715
South Carolina,Licensed drivers,2020,1,3905911
South Dakota,Licensed drivers,2020,1,658091
Tennessee,Licensed drivers,2020,1,4877268
Texas,Licensed drivers,2020,1,17667039
